folder,icaos_in_name
fs24-asobo-passiveaircraft-p2008,SIVE
fs24-asobo-passiveaircraft-p2010,SIVE
fs24-asobo-passiveaircraft-p2012,SIVE
fs24-asobo-passiveaircraft-p92,SIVE
fs24-asobo-passiveaircraft-pc12,SIVE
fs24-asobo-passiveaircraft-pc24,SIVE
fs24-asobo-passiveaircraft-pc6,SIVE
fs24-asobo-passiveaircraft-phenom100,SIVE
fs24-asobo-passiveaircraft-phenom300,SIVE
fs24-asobo-passiveaircraft-praetor500,SIVE|ETOR
fs24-asobo-passiveaircraft-praetor600,SIVE|ETOR
fs24-asobo-passiveaircraft-r22,SIVE
fs24-asobo-passiveaircraft-r44,SIVE
fs24-asobo-passiveaircraft-r66,SIVE
fs24-asobo-passiveaircraft-s2000,SIVE
fs24-asobo-passiveaircraft-sf50,SIVE
fs24-asobo-passiveaircraft-sr22family,SIVE|FAMI
fs24-asobo-passiveaircraft-t38,SIVE
fs24-asobo-passiveaircraft-t50,SIVE
fs24-asobo-passiveaircraft-t6family,SIVE|FAMI
fs24-asobo-passiveaircraft-tbm930,SIVE
fs24-asobo-procedural-hangar,HANG
fs24-asobo-proceduralgeneration-character-swimmer,SWIM|WIMM
fs24-asobo-simattachmentlib-instruments,ENTS
fs24-asobo-simobjects-animals,SIMO
fs24-asobo-simobjects-characters,SIMO
fs24-asobo-simobjects-landmarks,SIMO
fs24-asobo-simobjects-liquids,SIMO
fs24-asobo-simobjects-misc,SIMO
fs24-asobo-simobjects-vehicles,SIMO
fs24-asobo-surface-artificial-material-lib,FACE
